suite,candidate_rows,missing_candidate_rows,status
2024东城一模,13,2,HAS_POSSIBLE_GAP
2024东城二模,15,4,HAS_POSSIBLE_GAP
2024丰台一模,6,3,HAS_POSSIBLE_GAP
2024丰台二模,8,5,HAS_POSSIBLE_GAP
2024朝阳一模,15,5,HAS_POSSIBLE_GAP
2024朝阳二模,14,5,HAS_POSSIBLE_GAP
2024朝阳期中,17,6,HAS_POSSIBLE_GAP
2024海淀一模,5,2,HAS_POSSIBLE_GAP
2024海淀二模,5,4,HAS_POSSIBLE_GAP
2024石景山一模,4,2,HAS_POSSIBLE_GAP
2024西城一模,11,6,HAS_POSSIBLE_GAP
2024西城二模,12,1,HAS_POSSIBLE_GAP
2024门头沟一模,6,6,HAS_POSSIBLE_GAP
2024顺义二模,4,1,HAS_POSSIBLE_GAP
2025东城一模,3,1,HAS_POSSIBLE_GAP
2025东城二模,5,2,HAS_POSSIBLE_GAP
2025东城期末,5,1,HAS_POSSIBLE_GAP
2025丰台一模,2,0,COVERED_BY_LATEST_DOCX_KEYS
2025丰台二模,3,0,COVERED_BY_LATEST_DOCX_KEYS
2025丰台期末,13,1,HAS_POSSIBLE_GAP
2025延庆一模,3,1,HAS_POSSIBLE_GAP
2025房山一模,5,3,HAS_POSSIBLE_GAP
2025昌平二模,6,1,HAS_POSSIBLE_GAP
2025朝阳一模,3,2,HAS_POSSIBLE_GAP
2025朝阳二模,2,0,COVERED_BY_LATEST_DOCX_KEYS
2025朝阳期末,20,3,HAS_POSSIBLE_GAP
2025海淀一模,5,4,HAS_POSSIBLE_GAP
2025海淀二模,4,2,HAS_POSSIBLE_GAP
2025海淀期末,13,2,HAS_POSSIBLE_GAP
2025石景山一模,7,2,HAS_POSSIBLE_GAP
2025西城一模,3,2,HAS_POSSIBLE_GAP
2025西城二模,6,0,COVERED_BY_LATEST_DOCX_KEYS
2025西城期末,9,0,COVERED_BY_LATEST_DOCX_KEYS
2025门头沟一模,12,1,HAS_POSSIBLE_GAP
2025顺义一模,8,3,HAS_POSSIBLE_GAP
2026东城一模,6,3,HAS_POSSIBLE_GAP
2026东城期末,2,2,HAS_POSSIBLE_GAP
2026丰台一模,3,3,HAS_POSSIBLE_GAP
2026丰台期末,4,4,HAS_POSSIBLE_GAP
2026延庆一模,3,3,HAS_POSSIBLE_GAP
2026房山一模,3,3,HAS_POSSIBLE_GAP
2026朝阳一模,4,4,HAS_POSSIBLE_GAP
2026朝阳期中,10,2,HAS_POSSIBLE_GAP
2026朝阳期末,9,6,HAS_POSSIBLE_GAP
2026海淀一模,6,6,HAS_POSSIBLE_GAP
2026海淀期中,4,4,HAS_POSSIBLE_GAP
2026海淀期末,11,5,HAS_POSSIBLE_GAP
2026石景山一模,3,3,HAS_POSSIBLE_GAP
2026石景山期末,10,10,HAS_POSSIBLE_GAP
2026西城一模,4,4,HAS_POSSIBLE_GAP
2026西城期末,9,3,HAS_POSSIBLE_GAP
2026通州期末,9,4,HAS_POSSIBLE_GAP
2026门头沟一模,3,1,HAS_POSSIBLE_GAP
2026顺义一模,2,1,HAS_POSSIBLE_GAP
