题源,挂载次数,命中六要素,命中小框架
2024东城一模 Q20,4,经济全球化,兼；开；营；贸资
2024东城二模 Q20,4,中国；政治多极化；联合国,共体；联合国；责任
2024丰台一模 Q20,4,经济全球化,环；贸资
2024丰台二模 Q19,3,中国；政治多极化,共体；智慧；责任
2024朝阳一模 Q21,3,中国；政治多极化；经济全球化,兼；政策；新国关
2024朝阳二模 Q20,5,政治多极化,单边；完善全球治理；民主
2024朝阳期中 Q20(3),3,中国；经济全球化,总；智慧；贸资
2024海淀一模 Q18(1),2,经济全球化,兼；贸资
2024海淀期中 Q16(2),1,经济全球化,开
2024海淀期中 Q21(2),7,中国；政治多极化；时代背景,一条主线；共体；多极化；挑战；政策；民主
2024西城一模 Q19(6),3,中国；经济全球化,一条历史线；兼；开
2024西城二模 Q19,3,政治多极化；时代背景,共体；机遇；民主
2025东城一模 Q20,4,政治多极化；理论；经济全球化,共体；共同利益；总；民主
2025东城二模 Q20,3,政治多极化,共体；多极化；民主
2025东城期末 Q20,3,政治多极化；理论；经济全球化,共同利益；单边；配
2025丰台二模 Q20,4,中国；政治多极化；联合国,完善全球治理；民主；联合国；责任
2025丰台期末 Q20,7,中国；政治多极化；时代背景；理论,共体；共同利益；完善全球治理；新国关；机遇；责任
2025延庆一模 Q20(2),4,政治多极化；理论；经济全球化,共体；共同利益；多极化；总
2025房山一模 Q18(2),2,理论；经济全球化,共同利益；开
2025昌平二模 Q21,5,经济全球化,兼；开；总；营
2025朝阳一模 Q20,3,经济全球化,开；环；贸资
2025朝阳二模 Q21,6,政治多极化；理论；经济全球化,共体；共同利益；总；新国关；贸资
2025朝阳期末 Q21,5,政治多极化；时代背景；理论；经济全球化；联合国,共体；共同利益；总；挑战；联合国
2025海淀二模 Q21,4,政治多极化；联合国,新国关；联合国
2025海淀期中 Q16(2),1,经济全球化,开
2025海淀期中 Q21(2),8,中国；政治多极化；时代背景,一条主线；一条历史线；共体；多极化；政策；机遇
2025石景山一模 Q17(2),4,政治多极化；经济全球化；联合国,完善全球治理；总；民主；联合国
2025西城一模 Q21(1),2,中国；理论,共同利益；智慧
2025西城一模 Q21(2),2,经济全球化,国；总
2025西城二模 Q19(2),2,中国；经济全球化,总；责任
2025西城期末 Q20(2),2,政治多极化；经济全球化,单边；开
2025门头沟一模 Q19,4,中国；政治多极化；经济全球化,共体；总；新国关；责任
2025顺义一模 Q20,5,中国；政治多极化；经济全球化,国；完善全球治理；民；民主；责任
2026东城期末 Q20,6,政治多极化,共体；完善全球治理
2026丰台一模 Q19,4,中国；政治多极化；联合国,完善全球治理；政策；民主；联合国
2026延庆一模 Q19(2),7,中国；政治多极化；理论；经济全球化,共体；共同利益；国；完善全球治理；新国关；责任
2026房山一模 Q19,5,经济全球化,兼；开；环；营；贸资
2026朝阳一模 Q20,11,中国；政治多极化；时代背景；经济全球化,一条历史线；共体；兼；完善全球治理；总；新国关；智慧；机遇；环；责任；贸资
2026朝阳期中 Q17,8,中国；政治多极化；理论；经济全球化,一条历史线；共体；共同利益；兼；国家安全；开；责任
2026朝阳期末 Q20,5,政治多极化；时代背景；理论；经济全球化,共同利益；开；机遇；民主
2026海淀一模 Q20,2,经济全球化,兼；开
2026石景山一模 Q20,5,政治多极化；理论；经济全球化,共体；共同利益；完善全球治理；总；贸资
2026西城一模 Q20(2),5,经济全球化,开；环；营；贸资
2026西城期末 Q20,7,中国；政治多极化；时代背景；理论；联合国,共同利益；完善全球治理；智慧；机遇；联合国；责任
2026通州期末 Q20,7,中国；政治多极化；时代背景；理论；联合国,共体；共同利益；完善全球治理；智慧；机遇；民主；联合国
2026门头沟一模 Q20,6,经济全球化,兼；开；环；营；贸资
2026顺义一模 Q20,5,政治多极化；时代背景；理论；经济全球化,共体；共同利益；总；新国关；机遇
