source_id,path,sha256,size_bytes,mtime,role,extract_path,text_extract_source
SRC_EXAM_2025_CHAOYANG_YIMO_Q20,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/试卷/试卷.pdf,e051761a7fc68fef22be094a9ea823b1ed1e2b56fc4b9cfd6a382f7c7c00011b,631028,2026-04-23T17:05:53+08:00,exam_prompt_for_doc_order_91,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_019/SRC_EXAM_2025_CHAOYANG_YIMO_Q20.txt,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2025/2025朝阳一模/2025各区一模__2025朝阳一模__试卷__试卷.pdf.txt
SRC_RUBRIC_2025_CHAOYANG_YIMO_Q20,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/细则.pdf,f5f683a900508fd228d6591418f9ef75d8a95ae09cf1b16d3b0427017234468b,731224,2026-04-23T17:05:57+08:00,formal_rubric_for_doc_order_91,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_019/SRC_RUBRIC_2025_CHAOYANG_YIMO_Q20.txt,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2025/2025朝阳一模/2025各区一模__2025朝阳一模__细则__细则.pdf.txt
SRC_EXAM_2025_CHAOYANG_ERMO_Q21,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/试卷/试卷.pdf,6009b3f19a33a729602d7a5bc5b6c8ca2b59ed1392c6c753df7d14695ce84d5e,704674,2026-04-23T17:06:29+08:00,exam_prompt_for_doc_order_92_reused_text_from_slice014,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_019/SRC_EXAM_2025_CHAOYANG_ERMO_Q21.txt,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_014/SRC_EXAM_2025_CHAOYANG_ERMO_Q21.txt
SRC_RUBRIC_2025_CHAOYANG_ERMO_Q21,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/细则/细则.docx,73c36c3077dced724eb48b81aec7492e8e5ac59a7f72d7fb729d3581ea3fb5e8,29885,2026-04-23T17:06:30+08:00,formal_rubric_for_doc_order_92_reused_text_from_slice014,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_019/SRC_RUBRIC_2025_CHAOYANG_ERMO_Q21.txt,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_014/SRC_RUBRIC_2025_CHAOYANG_ERMO_Q21.txt
SRC_EXAM_2025_HAIDIAN_YIMO_Q21_2,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025海淀一模/试卷/试卷.pdf,7ebce670784d805ee092db689d2bca675ca5ef4f7394a3229530a1423341fbd9,692410,2026-04-23T17:06:13+08:00,exam_prompt_for_doc_order_93,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_019/SRC_EXAM_2025_HAIDIAN_YIMO_Q21_2.txt,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2025/2025海淀一模/2025各区一模__2025海淀一模__试卷__试卷.pdf.txt
SRC_RUBRIC_2025_HAIDIAN_YIMO_Q21_2,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025海淀一模/试卷/补充材料/EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.pdf,be30611f2f07a1374caa94169907a379ab23b6d6ef390647ca58b64e577b833a,1672781,2026-04-23T17:06:19+08:00,formal_scoring_standard_for_doc_order_93,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_019/SRC_RUBRIC_2025_HAIDIAN_YIMO_Q21_2.txt,/Users/wanglifei/Desktop/北京高考政治/claude_zero_run/extracted/8cf8c31e07b0__EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.txt
SRC_EXAM_2026_DONGCHENG_ERMO_Q20_3,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026东城二模/试卷/2026北京东城高三二模政治（教师版）.docx,c751cfa77650b9c3456aa333252513108d352756ad8426974305963145e62647,1008214,2026-05-18T21:19:56+08:00,exam_prompt_and_teacher_answer_for_doc_order_94,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_019/SRC_EXAM_2026_DONGCHENG_ERMO_Q20_3.txt,/Users/wanglifei/Desktop/北京高考政治/新题增补_哲学_选必一_2026-05-18/01_source_packets/texts/2026东城二模__试卷__2026北京东城高三二模政治（教师版）.txt
SRC_RUBRIC_2026_DONGCHENG_ERMO_Q20_3,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026东城二模/细则/26年东城二模20（3）.pdf,34f69bdaf40f8c5372ccd2cad7a68574f2e3395463492739cf3518a69817d87e,650708,2026-05-18T21:19:40+08:00,formal_rubric_for_doc_order_94,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_019/SRC_RUBRIC_2026_DONGCHENG_ERMO_Q20_3.txt,/Users/wanglifei/Desktop/北京高考政治/新题增补_哲学_选必一_2026-05-18/01_source_packets/texts/2026东城二模__细则__26年东城二模20（3）.txt
SRC_EXAM_2026_FENGTAI_ERMO_Q20,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026丰台二模/试卷/2026北京丰台高三二模政治（教师版）.pdf,f7b3a73c9296b17889cada79c5a5256bda639d2bec8a2f0091d21a15541253b0,1856697,2026-05-18T21:19:44+08:00,exam_prompt_and_teacher_answer_for_doc_order_95,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_019/SRC_EXAM_2026_FENGTAI_ERMO_Q20.txt,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_丰台_二模.txt
SRC_RUBRIC_2026_FENGTAI_ERMO_Q20_PPTX_MISMATCH,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026丰台二模/细则/2026丰台区二模主观题阅卷细则(1).pptx,10275a1dafa3a824edbd50b523b8ef31dca9b7d6c2f34964b4740f4f45cbf044,15327627,2026-05-18T21:22:20+08:00,rubric_mismatch_absence_evidence_for_doc_order_95,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_019/SRC_RUBRIC_2026_FENGTAI_ERMO_Q20_PPTX_MISMATCH.txt,/Users/wanglifei/Desktop/北京高考政治/新题增补_哲学_选必一_2026-05-18/01_source_packets/texts/2026丰台二模__细则__2026丰台区二模主观题阅卷细则(1).txt
